 schemaname |         tablename         |                   indexname                   |                                                                indexdef                                                                
 public     | assignment_templates      | idx_assignment_templates_category             | CREATE INDEX idx_assignment_templates_category ON public.assignment_templates USING btree (category)
 public     | assignment_templates      | idx_assignment_templates_created_by           | CREATE INDEX idx_assignment_templates_created_by ON public.assignment_templates USING btree (created_by)
 public     | assignment_templates      | idx_assignment_templates_difficulty           | CREATE INDEX idx_assignment_templates_difficulty ON public.assignment_templates USING btree (difficulty_level)
 public     | assignment_templates      | idx_assignment_templates_subject              | CREATE INDEX idx_assignment_templates_subject ON public.assignment_templates USING btree (subject)
 public     | assignment_violations     | assignment_violations_pkey                    | CREATE UNIQUE INDEX assignment_violations_pkey ON public.assignment_violations USING btree (id)
 public     | assignment_violations     | idx_assignment_violations_submission_id       | CREATE INDEX idx_assignment_violations_submission_id ON public.assignment_violations USING btree (submission_id)
 public     | assignments               | assignments_pkey                              | CREATE UNIQUE INDEX assignments_pkey ON public.assignments USING btree (id)
 public     | assignments               | idx_assignments_club_id                       | CREATE INDEX idx_assignments_club_id ON public.assignments USING btree (club_id)
 public     | assignments               | idx_assignments_created_by                    | CREATE INDEX idx_assignments_created_by ON public.assignments USING btree (created_by)
 public     | assignments               | idx_assignments_due_date                      | CREATE INDEX idx_assignments_due_date ON public.assignments USING btree (due_date)
 public     | assignments               | idx_assignments_status                        | CREATE INDEX idx_assignments_status ON public.assignments USING btree (status)
 public     | assignments               | idx_assignments_type                          | CREATE INDEX idx_assignments_type ON public.assignments USING btree (assignment_type)
 public     | audit_logs                | audit_logs_pkey                               | CREATE UNIQUE INDEX audit_logs_pkey ON public.audit_logs USING btree (id)
 public     | audit_logs                | idx_audit_logs_created_at                     | CREATE INDEX idx_audit_logs_created_at ON public.audit_logs USING btree (created_at)
 public     | audit_logs                | idx_audit_logs_resource_type                  | CREATE INDEX idx_audit_logs_resource_type ON public.audit_logs USING btree (resource_type)
 public     | audit_logs                | idx_audit_logs_user_id                        | CREATE INDEX idx_audit_logs_user_id ON public.audit_logs USING btree (user_id)
 public     | chat_attachments          | chat_attachments_pkey                         | CREATE UNIQUE INDEX chat_attachments_pkey ON public.chat_attachments USING btree (id)
 public     | chat_invitations          | chat_invitations_invitation_token_key         | CREATE UNIQUE INDEX chat_invitations_invitation_token_key ON public.chat_invitations USING btree (invitation_token)
 public     | chat_invitations          | chat_invitations_pkey                         | CREATE UNIQUE INDEX chat_invitations_pkey ON public.chat_invitations USING btree (id)
 public     | chat_messages             | chat_messages_pkey                            | CREATE UNIQUE INDEX chat_messages_pkey ON public.chat_messages USING btree (id)
 public     | chat_messages             | idx_chat_messages_created_at                  | CREATE INDEX idx_chat_messages_created_at ON public.chat_messages USING btree (created_at)
 public     | chat_messages             | idx_chat_messages_room_id                     | CREATE INDEX idx_chat_messages_room_id ON public.chat_messages USING btree (room_id)
 public     | chat_messages             | idx_chat_messages_user_id                     | CREATE INDEX idx_chat_messages_user_id ON public.chat_messages USING btree (user_id)
 public     | chat_room_members         | chat_room_members_pkey                        | CREATE UNIQUE INDEX chat_room_members_pkey ON public.chat_room_members USING btree (id)
 public     | chat_room_members         | idx_chat_room_members_chat_room_id            | CREATE INDEX idx_chat_room_members_chat_room_id ON public.chat_room_members USING btree (chat_room_id)
 public     | chat_room_members         | idx_chat_room_members_user_id                 | CREATE INDEX idx_chat_room_members_user_id ON public.chat_room_members USING btree (user_id)
 public     | chat_rooms                | chat_rooms_pkey                               | CREATE UNIQUE INDEX chat_rooms_pkey ON public.chat_rooms USING btree (id)
 public     | club_members              | club_members_pkey                             | CREATE UNIQUE INDEX club_members_pkey ON public.club_members USING btree (id)
 public     | club_members              | idx_club_members_club_id                      | CREATE INDEX idx_club_members_club_id ON public.club_members USING btree (club_id)
 public     | club_members              | idx_club_members_user_id                      | CREATE INDEX idx_club_members_user_id ON public.club_members USING btree (user_id)
 public     | club_statistics           | club_statistics_pkey                          | CREATE UNIQUE INDEX club_statistics_pkey ON public.club_statistics USING btree (id)
 public     | clubs                     | clubs_pkey                                    | CREATE UNIQUE INDEX clubs_pkey ON public.clubs USING btree (id)
 public     | clubs                     | idx_clubs_coordinator_id                      | CREATE INDEX idx_clubs_coordinator_id ON public.clubs USING btree (coordinator_id)
 public     | clubs                     | idx_clubs_type                                | CREATE INDEX idx_clubs_type ON public.clubs USING btree (type)
 public     | code_results              | code_results_pkey                             | CREATE UNIQUE INDEX code_results_pkey ON public.code_results USING btree (id)
 public     | coding_submissions        | coding_submissions_pkey                       | CREATE UNIQUE INDEX coding_submissions_pkey ON public.coding_submissions USING btree (id)
 public     | coding_submissions        | idx_coding_submissions_question_response_id   | CREATE INDEX idx_coding_submissions_question_response_id ON public.coding_submissions USING btree (question_response_id)
 public     | comments                  | comments_pkey                                 | CREATE UNIQUE INDEX comments_pkey ON public.comments USING btree (id)
 public     | comments                  | idx_comments_author_id                        | CREATE INDEX idx_comments_author_id ON public.comments USING btree (author_id)
 public     | comments                  | idx_comments_post_id                          | CREATE INDEX idx_comments_post_id ON public.comments USING btree (post_id)
 public     | committee_members         | committee_members_pkey                        | CREATE UNIQUE INDEX committee_members_pkey ON public.committee_members USING btree (id)
 public     | committee_members         | idx_committee_members_committee_id            | CREATE INDEX idx_committee_members_committee_id ON public.committee_members USING btree (committee_id)
 public     | committee_members         | idx_committee_members_user_id                 | CREATE INDEX idx_committee_members_user_id ON public.committee_members USING btree (user_id)
 public     | committee_roles           | committee_roles_pkey                          | CREATE UNIQUE INDEX committee_roles_pkey ON public.committee_roles USING btree (id)
 public     | committee_roles           | idx_committee_roles_committee_id              | CREATE INDEX idx_committee_roles_committee_id ON public.committee_roles USING btree (committee_id)
 public     | committees                | committees_name_key                           | CREATE UNIQUE INDEX committees_name_key ON public.committees USING btree (name)
 public     | committees                | committees_pkey                               | CREATE UNIQUE INDEX committees_pkey ON public.committees USING btree (id)
 public     | discussion_replies        | discussion_replies_pkey                       | CREATE UNIQUE INDEX discussion_replies_pkey ON public.discussion_replies USING btree (id)
 public     | discussions               | discussions_pkey                              | CREATE UNIQUE INDEX discussions_pkey ON public.discussions USING btree (id)
 public     | email_logs                | email_logs_pkey                               | CREATE UNIQUE INDEX email_logs_pkey ON public.email_logs USING btree (id)
 public     | email_logs                | idx_email_logs_created_at                     | CREATE INDEX idx_email_logs_created_at ON public.email_logs USING btree (created_at)
 public     | email_logs                | idx_email_logs_recipient                      | CREATE INDEX idx_email_logs_recipient ON public.email_logs USING btree (recipient)
 public     | email_logs                | idx_email_logs_status                         | CREATE INDEX idx_email_logs_status ON public.email_logs USING btree (status)
 public     | event_attendees           | event_attendees_pkey                          | CREATE UNIQUE INDEX event_attendees_pkey ON public.event_attendees USING btree (id)
 public     | event_attendees           | idx_event_attendees_event_id                  | CREATE INDEX idx_event_attendees_event_id ON public.event_attendees USING btree (event_id)
 public     | event_attendees           | idx_event_attendees_user_id                   | CREATE INDEX idx_event_attendees_user_id ON public.event_attendees USING btree (user_id)
 public     | event_registrations       | event_registrations_pkey                      | CREATE UNIQUE INDEX event_registrations_pkey ON public.event_registrations USING btree (id)
 public     | events                    | events_pkey                                   | CREATE UNIQUE INDEX events_pkey ON public.events USING btree (id)
 public     | events                    | idx_events_club_id                            | CREATE INDEX idx_events_club_id ON public.events USING btree (club_id)
 public     | events                    | idx_events_created_by                         | CREATE INDEX idx_events_created_by ON public.events USING btree (created_by)
 public     | events                    | idx_events_event_date                         | CREATE INDEX idx_events_event_date ON public.events USING btree (event_date)
 public     | likes                     | idx_likes_post_id                             | CREATE INDEX idx_likes_post_id ON public.likes USING btree (post_id)
 public     | likes                     | idx_likes_user_id                             | CREATE INDEX idx_likes_user_id ON public.likes USING btree (user_id)
 public     | likes                     | likes_pkey                                    | CREATE UNIQUE INDEX likes_pkey ON public.likes USING btree (id)
 public     | likes                     | unique_post_user_like                         | CREATE UNIQUE INDEX unique_post_user_like ON public.likes USING btree (post_id, user_id)
 public     | media_files               | idx_media_files_upload_context                | CREATE INDEX idx_media_files_upload_context ON public.media_files USING btree (upload_context)
 public     | media_files               | idx_media_files_uploaded_by                   | CREATE INDEX idx_media_files_uploaded_by ON public.media_files USING btree (uploaded_by)
 public     | media_files               | media_files_pkey                              | CREATE UNIQUE INDEX media_files_pkey ON public.media_files USING btree (id)
 public     | messages                  | messages_pkey                                 | CREATE UNIQUE INDEX messages_pkey ON public.messages USING btree (id)
 public     | notifications             | idx_notifications_created_at                  | CREATE INDEX idx_notifications_created_at ON public.notifications USING btree (created_at)
 public     | notifications             | idx_notifications_read                        | CREATE INDEX idx_notifications_read ON public.notifications USING btree (read)
 public     | notifications             | idx_notifications_user_id                     | CREATE INDEX idx_notifications_user_id ON public.notifications USING btree (user_id)
 public     | notifications             | notifications_pkey                            | CREATE UNIQUE INDEX notifications_pkey ON public.notifications USING btree (id)
 public     | posts                     | idx_posts_author_id                           | CREATE INDEX idx_posts_author_id ON public.posts USING btree (author_id)
 public     | posts                     | idx_posts_club_id                             | CREATE INDEX idx_posts_club_id ON public.posts USING btree (club_id)
 public     | posts                     | idx_posts_created_at                          | CREATE INDEX idx_posts_created_at ON public.posts USING btree (created_at)
 public     | posts                     | idx_posts_search_vector                       | CREATE INDEX idx_posts_search_vector ON public.posts USING gin (search_vector)
 public     | posts                     | idx_posts_slug                                | CREATE INDEX idx_posts_slug ON public.posts USING btree (slug)
 public     | posts                     | idx_posts_status                              | CREATE INDEX idx_posts_status ON public.posts USING btree (status)
 public     | posts                     | posts_pkey                                    | CREATE UNIQUE INDEX posts_pkey ON public.posts USING btree (id)
 public     | posts                     | posts_slug_key                                | CREATE UNIQUE INDEX posts_slug_key ON public.posts USING btree (slug)
 public     | proctoring_sessions       | proctoring_sessions_pkey                      | CREATE UNIQUE INDEX proctoring_sessions_pkey ON public.proctoring_sessions USING btree (id)
 public     | project_invitations       | project_invitations_invitation_token_key      | CREATE UNIQUE INDEX project_invitations_invitation_token_key ON public.project_invitations USING btree (invitation_token)
 public     | project_invitations       | project_invitations_pkey                      | CREATE UNIQUE INDEX project_invitations_pkey ON public.project_invitations USING btree (id)
 public     | project_members           | idx_project_members_project_id                | CREATE INDEX idx_project_members_project_id ON public.project_members USING btree (project_id)
 public     | project_members           | idx_project_members_user_id                   | CREATE INDEX idx_project_members_user_id ON public.project_members USING btree (user_id)
 public     | project_members           | project_members_pkey                          | CREATE UNIQUE INDEX project_members_pkey ON public.project_members USING btree (id)
 public     | project_members           | unique_project_member                         | CREATE UNIQUE INDEX unique_project_member ON public.project_members USING btree (project_id, user_id)
 public     | projects                  | idx_projects_club_id                          | CREATE INDEX idx_projects_club_id ON public.projects USING btree (club_id)
 public     | projects                  | idx_projects_created_by                       | CREATE INDEX idx_projects_created_by ON public.projects USING btree (created_by)
 public     | projects                  | idx_projects_status                           | CREATE INDEX idx_projects_status ON public.projects USING btree (status)
 public     | projects                  | projects_pkey                                 | CREATE UNIQUE INDEX projects_pkey ON public.projects USING btree (id)
 public     | projects                  | unique_project_key_club                       | CREATE UNIQUE INDEX unique_project_key_club ON public.projects USING btree (club_id, project_key)
 public     | query_cache               | query_cache_pkey                              | CREATE UNIQUE INDEX query_cache_pkey ON public.query_cache USING btree (cache_key)
 public     | question_media            | question_media_pkey                           | CREATE UNIQUE INDEX question_media_pkey ON public.question_media USING btree (id)
 public     | question_options          | question_options_pkey                         | CREATE UNIQUE INDEX question_options_pkey ON public.question_options USING btree (id)
 public     | question_responses        | idx_question_responses_question_id            | CREATE INDEX idx_question_responses_question_id ON public.question_responses USING btree (question_id)
 public     | question_responses        | idx_question_responses_submission_id          | CREATE INDEX idx_question_responses_submission_id ON public.question_responses USING btree (submission_id)
 public     | question_responses        | question_responses_pkey                       | CREATE UNIQUE INDEX question_responses_pkey ON public.question_responses USING btree (id)
 public     | security_events           | idx_security_events_event_type                | CREATE INDEX idx_security_events_event_type ON public.security_events USING btree (event_type)
 public     | security_events           | idx_security_events_user_id                   | CREATE INDEX idx_security_events_user_id ON public.security_events USING btree (user_id)
 public     | security_events           | security_events_pkey                          | CREATE UNIQUE INDEX security_events_pkey ON public.security_events USING btree (id)
 public     | sessions                  | idx_sessions_expires_at                       | CREATE INDEX idx_sessions_expires_at ON public.sessions USING btree (expires_at)
 public     | sessions                  | idx_sessions_token                            | CREATE INDEX idx_sessions_token ON public.sessions USING btree (token)
 public     | sessions                  | idx_sessions_user_id                          | CREATE INDEX idx_sessions_user_id ON public.sessions USING btree (user_id)
 public     | sessions                  | sessions_pkey                                 | CREATE UNIQUE INDEX sessions_pkey ON public.sessions USING btree (id)
 public     | sessions                  | sessions_token_key                            | CREATE UNIQUE INDEX sessions_token_key ON public.sessions USING btree (token)
 public     | system_statistics         | system_statistics_pkey                        | CREATE UNIQUE INDEX system_statistics_pkey ON public.system_statistics USING btree (id)
 public     | tasks                     | idx_tasks_assignee_id                         | CREATE INDEX idx_tasks_assignee_id ON public.tasks USING btree (assignee_id)
 public     | tasks                     | idx_tasks_due_date                            | CREATE INDEX idx_tasks_due_date ON public.tasks USING btree (due_date)
 public     | tasks                     | idx_tasks_project_id                          | CREATE INDEX idx_tasks_project_id ON public.tasks USING btree (project_id)
 public     | tasks                     | idx_tasks_status                              | CREATE INDEX idx_tasks_status ON public.tasks USING btree (status)
 public     | tasks                     | tasks_pkey                                    | CREATE UNIQUE INDEX tasks_pkey ON public.tasks USING btree (id)
 public     | tasks                     | unique_task_key_project                       | CREATE UNIQUE INDEX unique_task_key_project ON public.tasks USING btree (project_id, task_key)
 public     | trusted_devices           | idx_trusted_devices_user_id                   | CREATE INDEX idx_trusted_devices_user_id ON public.trusted_devices USING btree (user_id)
 public     | trusted_devices           | trusted_devices_pkey                          | CREATE UNIQUE INDEX trusted_devices_pkey ON public.trusted_devices USING btree (id)
 public     | user_activities           | idx_user_activities_created_at                | CREATE INDEX idx_user_activities_created_at ON public.user_activities USING btree (created_at)
 public     | user_activities           | idx_user_activities_user_id                   | CREATE INDEX idx_user_activities_user_id ON public.user_activities USING btree (user_id)
 public     | user_activities           | user_activities_pkey                          | CREATE UNIQUE INDEX user_activities_pkey ON public.user_activities USING btree (id)
 public     | user_badges               | user_badges_pkey                              | CREATE UNIQUE INDEX user_badges_pkey ON public.user_badges USING btree (id)
 public     | users                     | idx_users_club_id                             | CREATE INDEX idx_users_club_id ON public.users USING btree (club_id)
 public     | users                     | idx_users_created_at                          | CREATE INDEX idx_users_created_at ON public.users USING btree (created_at)
 public     | users                     | idx_users_email                               | CREATE INDEX idx_users_email ON public.users USING btree (email)
 public     | users                     | idx_users_last_activity                       | CREATE INDEX idx_users_last_activity ON public.users USING btree (last_activity)
 public     | users                     | idx_users_role                                | CREATE INDEX idx_users_role ON public.users USING btree (role)
 public     | users                     | users_email_key                               | CREATE UNIQUE INDEX users_email_key ON public.users USING btree (email)
 public     | users                     | users_pkey                                    | CREATE UNIQUE INDEX users_pkey ON public.users USING btree (id)
(159 rows)

